YEAR,MO,DY,HR,GHI,DNI,DHI,T2M,WS10M,Sun_Elevation,Optimal_Tilt_Target
2020,1,8,16,165.32,173.62,112.08,22.46,1.63,17.6009406058443,72.3990593941557
2020,1,8,17,26.38,11.85,25.27,19.81,1.78,5.34074288227562,84.6592571177244
2020,1,8,18,0,0,0,17.91,2.33,0,0
2020,1,8,19,0,0,0,16.87,2.72,0,0
2020,1,8,20,0,0,0,16.19,2.86,0,0
2020,1,8,21,0,0,0,15.66,2.82,0,0
2020,1,8,22,0,0,0,15.23,2.62,0,0
2020,1,8,23,0,0,0,14.92,2.38,0,0
2020,1,9,0,0,0,0,14.61,2.31,0,0
2020,1,9,1,0,0,0,14.15,2.47,0,0
2020,1,9,2,0,0,0,13.8,2.48,0,0
2020,1,9,3,0,0,0,14.48,1.64,0,0
2020,1,9,4,0,0,0,15.23,0.91,0,0
2020,1,9,5,0,0,0,15.13,0.91,0,0
2020,1,9,6,0,0,0,14.99,0.93,0,0
2020,1,9,7,37.72,22.55,35.15,15.44,0.91,5.39381861588281,84.6061813841172
2020,1,9,8,147.38,138.36,103.3,17.58,0.96,17.6678924056573,72.3321075943427
2020,1,9,9,265.12,206.99,162.27,20.26,1.76,28.9076575822898,61.0923424177102
2020,1,9,10,426.45,208.07,256.81,22.19,2.4,38.4214904915585,51.5785095084415
2020,1,9,11,425.95,81.25,301.79,23.19,2.18,45.0901681719806,44.9098318280194
2020,1,9,12,386.73,33.02,312.23,23.63,1.97,47.5457647148335,42.4542352851665
2020,1,9,13,375.42,66.81,257.52,23.86,1.79,45.0901681719806,44.9098318280194
2020,1,9,14,234.25,46.96,177.25,23.8,1.52,38.4214904915585,51.5785095084415
2020,1,9,15,130.48,62.2,96.35,23.39,1.15,28.9076575822898,61.0923424177102
2020,1,9,16,59.08,35,47.35,22.75,0.65,17.6678924056573,72.3321075943427
2020,1,9,17,10.68,3.06,10.54,21.76,0.13,5.39381861588281,84.6061813841172
2020,1,9,18,0,0,0,20.89,0.44,0,0
2020,1,9,19,0,0,0,20.21,0.92,0,0
2020,1,9,20,0,0,0,19.52,1.35,0,0
2020,1,9,21,0,0,0,18.84,1.62,0,0
2020,1,9,22,0,0,0,18.4,1.72,0,0
2020,1,9,23,0,0,0,17.96,1.79,0,0
2020,1,10,0,0,0,0,17.48,1.85,0,0
2020,1,10,1,0,0,0,17.01,1.95,0,0
2020,1,10,2,0,0,0,16.62,2.07,0,0
2020,1,10,3,0,0,0,16.27,2.12,0,0
2020,1,10,4,0,0,0,15.98,2.09,0,0
2020,1,10,5,0,0,0,15.73,2.06,0,0
2020,1,10,6,0,0,0,15.53,2.09,0,0
2020,1,10,7,31.75,1.45,28.2,16.12,2.78,5.44959393566137,84.5504060643386
2020,1,10,8,113.03,8.31,97.59,16.88,3.28,17.7382085724697,72.2617914275303
2020,1,10,9,196.62,12.58,167.27,17.84,3.5,28.9954578229497,61.0045421770503
2020,1,10,10,276.12,16.75,226.34,18.97,3.5,38.5292718211262,51.4707281788738
2020,1,10,11,371.27,27.18,293.56,20.1,3.1,45.2165508060543,44.7834491939457
2020,1,10,12,396.92,74.9,268.66,21,2.75,47.6803754412626,42.3196245587374
2020,1,10,13,415.45,41.68,315.97,21.63,2.56,45.2165508060543,44.7834491939457
2020,1,10,14,345.33,91.19,248.19,21.89,2.42,38.5292718211262,51.4707281788738
2020,1,10,15,261.15,92.91,190.58,21.79,2.11,28.9954578229497,61.0045421770503
2020,1,10,16,124.05,49.81,102.38,21.27,1.45,17.7382085724697,72.2617914275303
2020,1,10,17,22.48,3.16,23.95,19.89,1.01,5.44959393566137,84.5504060643386
2020,1,10,18,0,0,0,19.05,0.88,0,0
2020,1,10,19,0,0,0,18.46,0.95,0,0
2020,1,10,20,0,0,0,17.76,1.15,0,0
2020,1,10,21,0,0,0,16.87,1.45,0,0
2020,1,10,22,0,0,0,15.69,1.76,0,0
2020,1,10,23,0,0,0,14.53,2.12,0,0
2020,1,11,0,0,0,0,13.65,2.33,0,0
2020,1,11,1,0,0,0,12.92,2.41,0,0
2020,1,11,2,0,0,0,12.26,2.5,0,0
2020,1,11,3,0,0,0,11.6,2.55,0,0
2020,1,11,4,0,0,0,10.96,2.55,0,0
2020,1,11,5,0,0,0,10.37,2.63,0,0
2020,1,11,6,0,0,0,9.84,2.73,0,0
2020,1,11,7,37.25,13.67,36.82,10.74,3.59,5.5080484220151,84.4919515779849
2020,1,11,8,176.35,125.64,128.47,12.56,3.56,17.8118571851065,72.1881428148935
2020,1,11,9,350.83,258.61,202.5,15.78,3.02,29.0874095551198,60.9125904448802
2020,1,11,10,485.75,357.12,236.04,18.73,2.44,38.6421850846102,51.3578149153898
2020,1,11,11,611.6,405.48,275.5,20.24,2.1,45.349024405872,44.650975594128
