YEAR,MO,DY,HR,GHI,DNI,DHI,T2M,WS10M,Sun_Elevation,Optimal_Tilt_Target
2025,1,7,22,0,0,0,12.27,3.25,0,0
2025,1,7,23,0,0,0,11.81,3.14,0,0
2025,1,8,0,0,0,0,11.35,3.01,0,0
2025,1,8,1,39.6,25.56,34,12.51,3.22,0,0
2025,1,8,2,198.32,229.74,114.54,14.81,3.58,0,0
2025,1,8,3,371.02,354.76,176.54,17.5,2.61,0,0
2025,1,8,4,512.5,419.19,224.07,21.11,1.98,0,0
2025,1,8,5,569,405.41,247.78,23.22,1.57,0,0
2025,1,8,6,607.25,436.67,243.64,24.28,1.41,0,0
2025,1,8,7,572.33,433.85,228.74,24.74,1.25,5.34074288227562,84.6592571177244
2025,1,8,8,467.23,377.69,214.17,24.75,1.19,17.6009406058443,72.3990593941557
2025,1,8,9,355.12,379.13,161.99,24.38,1.14,28.8240500603328,61.1759499396672
2025,1,8,10,169.98,214.52,99.37,23.64,0.91,38.3188868221461,51.6811131778539
2025,1,8,11,26.48,19.5,23.17,21.79,0.46,44.9699197889338,45.0300802110662
2025,1,8,12,0,0,0,20.86,0.06,47.4177246928787,42.5822753071213
2025,1,8,13,0,0,0,20,0.53,44.9699197889338,45.0300802110662
2025,1,8,14,0,0,0,19.15,0.81,38.3188868221461,51.6811131778539
2025,1,8,15,0,0,0,18.23,0.78,28.8240500603328,61.1759499396672
2025,1,8,16,0,0,0,17.49,0.5,17.6009406058443,72.3990593941557
2025,1,8,17,0,0,0,16.71,0.4,5.34074288227562,84.6592571177244
2025,1,8,18,0,0,0,15.43,0.97,0,0
2025,1,8,19,0,0,0,13.88,1.66,0,0
2025,1,8,20,0,0,0,12.47,2.13,0,0
2025,1,8,21,0,0,0,11.63,2.4,0,0
2025,1,8,22,0,0,0,11.07,2.57,0,0
2025,1,8,23,0,0,0,10.67,2.74,0,0
2025,1,9,0,0,0,0,10.37,2.86,0,0
2025,1,9,1,41.83,22.63,36.93,11.92,3.25,0,0
2025,1,9,2,191.25,177.33,124.88,14.35,3.61,0,0
2025,1,9,3,371.15,322.82,187.2,17.11,2.86,0,0
2025,1,9,4,490.67,359.43,236.47,20.07,3.11,0,0
2025,1,9,5,585.35,403.23,262.57,21.64,2.32,0,0
2025,1,9,6,617.05,421.16,271.24,22.65,1.63,0,0
2025,1,9,7,587,428.95,237.56,23.18,1.17,5.39381861588281,84.6061813841172
2025,1,9,8,486.33,391.47,216.28,23.26,1.01,17.6678924056573,72.3321075943427
2025,1,9,9,378.92,428.02,160.68,22.84,1.06,28.9076575822898,61.0923424177102
2025,1,9,10,165.5,169.84,106.45,21.99,1.12,38.4214904915585,51.5785095084415
2025,1,9,11,27.35,14.28,24.97,19.58,1.3,45.0901681719806,44.9098318280194
2025,1,9,12,0,0,0,17.89,1.71,47.5457647148335,42.4542352851665
2025,1,9,13,0,0,0,16.85,1.95,45.0901681719806,44.9098318280194
2025,1,9,14,0,0,0,15.99,2.05,38.4214904915585,51.5785095084415
2025,1,9,15,0,0,0,15.34,2.05,28.9076575822898,61.0923424177102
2025,1,9,16,0,0,0,14.87,1.93,17.6678924056573,72.3321075943427
2025,1,9,17,0,0,0,14.53,1.74,5.39381861588281,84.6061813841172
2025,1,9,18,0,0,0,14.12,1.53,0,0
2025,1,9,19,0,0,0,13.63,1.48,0,0
2025,1,9,20,0,0,0,12.75,1.73,0,0
2025,1,9,21,0,0,0,11.72,2.08,0,0
2025,1,9,22,0,0,0,11.02,2.36,0,0
2025,1,9,23,0,0,0,10.53,2.51,0,0
2025,1,10,0,0,0,0,10.18,2.59,0,0
2025,1,10,1,40.28,13.89,39.76,11.62,2.51,0,0
2025,1,10,2,186.5,147.83,137.28,14.44,3.12,0,0
2025,1,10,3,352.08,291.54,184.5,17.12,2.55,0,0
2025,1,10,4,520.33,410.92,225.07,20.12,3.04,0,0
2025,1,10,5,629.83,480.24,258.58,21.56,2.95,0,0
2025,1,10,6,584.85,342.04,286.74,22.52,2.74,0,0
